100,0,52,50,50
200,15,159,159,157
300,80,333,318,311
400,235,579,531,521
500,540,916,814,787
600,1070,1359,1168,1114
700,1910,1921,1605,1505
800,3165,2660,2170,1992
900,4952,3578,2855,2563
1000,7406,4703,3674,3230
1100,10671,6104,4663,4024
1200,14906,7792,5824,4940
1300,20291,9847,7208,6003
1400,27018,12294,8836,7229
1500,35293,15171,10719,8631
1600,45338,18574,12907,10229
1700,57392,22559,15436,12049
1800,71743,27220,18376,14133
1900,89155,33118,21919,16589
2000,109104,39828,26052,19378
