100,0,27,25,26
200,15,83,77,76
300,80,177,161,156
400,235,322,281,267
500,540,535,450,417
600,1070,839,675,608
700,1910,1254,964,849
800,3180,1829,1338,1151
900,4984,2604,1845,1543
1000,7443,3538,2519,2003
1100,10708,4650,3225,2514
1200,14944,6020,4085,3116
1300,20331,7735,5133,3844
1400,27060,9809,6394,4698
1500,35336,12298,7896,5698
1600,45385,15283,9706,6873
1700,57440,18790,11796,8221
1800,71770,22929,14242,9795
1900,88607,27738,17059,11587
2000,108275,33304,20325,13646
