100,0,15,15,15
200,15,55,49,45
300,80,135,110,100
400,235,284,215,185
500,540,551,376,306
600,1070,976,622,476
700,1910,1606,976,709
800,3166,2504,1490,1036
900,4953,3729,2169,1484
1000,7424,5298,3079,2050
1100,10687,7299,4307,2794
1200,14922,9823,5758,3698
1300,20307,12986,7545,4800
1400,27033,16775,9738,6209
1500,35307,21395,12521,7914
1600,45354,26843,15745,9943
1700,57402,33363,19459,12233
1800,71711,41119,23920,14987
1900,88535,50068,29056,18116
2000,108189,60487,35003,21680
